Year,Stock Name,Stock Symbol,Sales (Total Revenue),Operating Profit,Net Profit
2024,RELIANCE,RELIANCE.NS,9010640000000.0,1116660000000.0,696210000000.0
2023,RELIANCE,RELIANCE.NS,8778350000000.0,1020150000000.0,667020000000.0
2022,RELIANCE,RELIANCE.NS,6959630000000.0,787630000000.0,607050000000.0
2021,RELIANCE,RELIANCE.NS,4669240000000.0,541650000000.0,491280000000.0
2024,HDFCBANK,HDFCBANK.NS,1986934300000.0,N/A,622656600000.0
2023,HDFCBANK,HDFCBANK.NS,1205375000000.0,N/A,495446900000.0
2022,HDFCBANK,HDFCBANK.NS,1019413700000.0,N/A,386000400000.0
2021,HDFCBANK,HDFCBANK.NS,936662200000.0,N/A,325977100000.0
2025,TCS,TCS.NS,2553240000000.0,621650000000.0,485530000000.0
2024,TCS,TCS.NS,2408930000000.0,593110000000.0,459080000000.0
2023,TCS,TCS.NS,2254580000000.0,543770000000.0,421470000000.0
2022,TCS,TCS.NS,1917540000000.0,485880000000.0,383270000000.0
2021,TCS,TCS.NS,,,
2024,BHARTIARTL,BHARTIARTL.NS,1499824000000.0,398872000000.0,74670000000.0
2023,BHARTIARTL,BHARTIARTL.NS,1391448000000.0,351986000000.0,83459000000.0
2022,BHARTIARTL,BHARTIARTL.NS,1165469000000.0,247621000000.0,42549000000.0
2021,BHARTIARTL,BHARTIARTL.NS,1006158000000.0,161413000000.0,-150835000000.0
2024,ICICIBANK,ICICIBANK.NS,1612101952000.0,N/A,442563735000.0
2023,ICICIBANK,ICICIBANK.NS,1341894552000.0,N/A,340366408000.0
2022,ICICIBANK,ICICIBANK.NS,1163639822000.0,N/A,251100960000.0
2021,ICICIBANK,ICICIBANK.NS,1185394470000.0,N/A,183843186000.0
2024,SBIN,SBIN.NS,3236135037000.0,N/A,670846661000.0
2023,SBIN,SBIN.NS,2703369068000.0,N/A,556481728000.0
2022,SBIN,SBIN.NS,2360910738000.0,N/A,353738798000.0
2021,SBIN,SBIN.NS,2143316771000.0,N/A,224054576000.0
2024,INFY,INFY.NS,18562000000.0,3849000000.0,3167000000.0
2023,INFY,INFY.NS,18212000000.0,3860000000.0,2981000000.0
2022,INFY,INFY.NS,16311000000.0,3755000000.0,2963000000.0
2021,INFY,INFY.NS,13561000000.0,3325000000.0,2613000000.0
2024,BAJFINANCE,BAJFINANCE.NS,343263200000.0,N/A,144511700000.0
2023,BAJFINANCE,BAJFINANCE.NS,269669000000.0,N/A,115076900000.0
2022,BAJFINANCE,BAJFINANCE.NS,201322100000.0,N/A,70282300000.0
2021,BAJFINANCE,BAJFINANCE.NS,160225700000.0,N/A,44198200000.0
2024,HINDUNILVR,HINDUNILVR.NS,609660000000.0,134470000000.0,102770000000.0
2023,HINDUNILVR,HINDUNILVR.NS,595490000000.0,130100000000.0,101200000000.0
2022,HINDUNILVR,HINDUNILVR.NS,515480000000.0,117660000000.0,88790000000.0
2021,HINDUNILVR,HINDUNILVR.NS,463210000000.0,105520000000.0,79950000000.0
2024,ITC,ITC.NS,703154900000.0,244182600000.0,204587800000.0
2023,ITC,ITC.NS,702452200000.0,238967000000.0,191916600000.0
2022,ITC,ITC.NS,600813600000.0,188954500000.0,152426600000.0
2021,ITC,ITC.NS,489528100000.0,154311400000.0,131611900000.0
