Date,Stock Name,Stock Symbol,Dividend Amount,Split Ratio,Bonus Ratio
1997-05-16,RELIANCE,RELIANCE.NS,0.402435,,
1997-10-27,RELIANCE,RELIANCE.NS,0.0,1:2,1:2
2000-04-06,RELIANCE,RELIANCE.NS,0.495305,,
2001-04-26,RELIANCE,RELIANCE.NS,0.526262,,
2003-05-23,RELIANCE,RELIANCE.NS,0.619131,,
2005-05-12,RELIANCE,RELIANCE.NS,0.928697,,
2006-06-01,RELIANCE,RELIANCE.NS,1.238263,,
2009-11-26,RELIANCE,RELIANCE.NS,0.0,1:2,1:2
2010-05-10,RELIANCE,RELIANCE.NS,1.733568,,
2013-05-10,RELIANCE,RELIANCE.NS,2.228873,,
2014-05-16,RELIANCE,RELIANCE.NS,2.352699,,
2015-05-08,RELIANCE,RELIANCE.NS,2.476525,,
2016-03-17,RELIANCE,RELIANCE.NS,2.600351,,
2017-07-13,RELIANCE,RELIANCE.NS,2.724178,,
2017-09-07,RELIANCE,RELIANCE.NS,0.0,1:2,1:2
2018-06-27,RELIANCE,RELIANCE.NS,2.97183,,
2019-08-02,RELIANCE,RELIANCE.NS,3.219483,,
2022-08-18,RELIANCE,RELIANCE.NS,4.0,,
2024-10-28,RELIANCE,RELIANCE.NS,0.0,1:2,1:2
1997-06-09,HDFCBANK,HDFCBANK.NS,0.08,,
1998-06-11,HDFCBANK,HDFCBANK.NS,0.1,,
1999-04-19,HDFCBANK,HDFCBANK.NS,0.13,,
2000-04-06,HDFCBANK,HDFCBANK.NS,0.16,,
2001-04-20,HDFCBANK,HDFCBANK.NS,0.2,,
2002-05-07,HDFCBANK,HDFCBANK.NS,0.25,,
2003-04-30,HDFCBANK,HDFCBANK.NS,0.3,,
2004-05-06,HDFCBANK,HDFCBANK.NS,0.35,,
2005-05-26,HDFCBANK,HDFCBANK.NS,0.45,,
2006-05-11,HDFCBANK,HDFCBANK.NS,0.55,,
2007-05-17,HDFCBANK,HDFCBANK.NS,0.7,,
2008-04-29,HDFCBANK,HDFCBANK.NS,0.85,,
2009-06-22,HDFCBANK,HDFCBANK.NS,1.0,,
2010-06-10,HDFCBANK,HDFCBANK.NS,1.2,,
2011-06-02,HDFCBANK,HDFCBANK.NS,1.65,,
2011-07-14,HDFCBANK,HDFCBANK.NS,0.0,1:5,
2012-06-28,HDFCBANK,HDFCBANK.NS,2.15,,
2013-06-13,HDFCBANK,HDFCBANK.NS,2.75,,
2014-06-05,HDFCBANK,HDFCBANK.NS,3.425,,
2015-07-02,HDFCBANK,HDFCBANK.NS,4.0,,
2016-06-29,HDFCBANK,HDFCBANK.NS,4.75,,
2017-06-29,HDFCBANK,HDFCBANK.NS,5.5,,
2018-05-31,HDFCBANK,HDFCBANK.NS,6.5,,
2019-06-20,HDFCBANK,HDFCBANK.NS,7.5,,
2019-08-01,HDFCBANK,HDFCBANK.NS,2.5,,
2019-09-19,HDFCBANK,HDFCBANK.NS,0.0,1:2,1:2
2021-06-29,HDFCBANK,HDFCBANK.NS,6.5,,
2022-05-12,HDFCBANK,HDFCBANK.NS,15.5,,
2023-05-16,HDFCBANK,HDFCBANK.NS,19.0,,
2024-05-10,HDFCBANK,HDFCBANK.NS,19.5,,
2004-10-28,TCS,TCS.NS,0.375,,
2005-02-03,TCS,TCS.NS,0.4375,,
2005-07-06,TCS,TCS.NS,0.625,,
2005-08-18,TCS,TCS.NS,0.375,,
2005-10-18,TCS,TCS.NS,0.375,,
2006-01-18,TCS,TCS.NS,0.375,,
2006-06-16,TCS,TCS.NS,0.5625,,
2006-07-28,TCS,TCS.NS,0.375,1:2,1:2
2006-10-23,TCS,TCS.NS,0.75,,
2007-01-22,TCS,TCS.NS,0.75,,
2007-06-15,TCS,TCS.NS,1.0,,
2007-07-27,TCS,TCS.NS,0.75,,
2007-10-22,TCS,TCS.NS,0.75,,
2008-01-23,TCS,TCS.NS,0.75,,
2008-06-18,TCS,TCS.NS,1.25,,
2008-07-31,TCS,TCS.NS,0.75,,
2008-10-29,TCS,TCS.NS,0.75,,
2009-01-28,TCS,TCS.NS,0.75,,
2009-06-16,TCS,TCS.NS,1.25,1:2,1:2
2009-07-27,TCS,TCS.NS,1.0,,
2009-10-28,TCS,TCS.NS,1.0,,
2010-01-27,TCS,TCS.NS,1.0,,
2010-06-15,TCS,TCS.NS,2.0,,
2010-07-29,TCS,TCS.NS,1.0,,
2010-11-01,TCS,TCS.NS,1.0,,
2011-01-27,TCS,TCS.NS,1.0,,
2011-06-08,TCS,TCS.NS,4.0,,
2011-07-28,TCS,TCS.NS,1.5,,
2011-10-25,TCS,TCS.NS,1.5,,
2012-01-25,TCS,TCS.NS,1.5,,
2012-06-07,TCS,TCS.NS,4.0,,
2012-07-23,TCS,TCS.NS,1.5,,
2012-10-31,TCS,TCS.NS,1.5,,
2013-01-23,TCS,TCS.NS,1.5,,
2013-06-06,TCS,TCS.NS,6.5,,
2013-07-29,TCS,TCS.NS,2.0,,
2013-10-25,TCS,TCS.NS,2.0,,
2014-01-27,TCS,TCS.NS,2.0,,
2014-06-06,TCS,TCS.NS,10.0,,
2014-07-28,TCS,TCS.NS,20.0,,
2014-10-29,TCS,TCS.NS,2.5,,
2015-01-27,TCS,TCS.NS,2.5,,
2015-06-05,TCS,TCS.NS,12.0,,
2015-07-20,TCS,TCS.NS,2.75,,
2015-10-23,TCS,TCS.NS,2.75,,
2016-01-21,TCS,TCS.NS,2.75,,
2016-06-06,TCS,TCS.NS,13.5,,
2016-07-25,TCS,TCS.NS,3.25,,
2016-10-24,TCS,TCS.NS,3.25,,
2017-01-23,TCS,TCS.NS,3.25,,
2017-06-13,TCS,TCS.NS,13.75,,
2017-07-24,TCS,TCS.NS,3.5,,
2017-10-25,TCS,TCS.NS,3.5,,
2018-01-22,TCS,TCS.NS,3.5,,
2018-05-31,TCS,TCS.NS,14.5,1:2,1:2
2018-07-17,TCS,TCS.NS,4.0,,
2018-10-23,TCS,TCS.NS,4.0,,
2019-01-17,TCS,TCS.NS,4.0,,
2019-06-04,TCS,TCS.NS,18.0,,
2019-07-16,TCS,TCS.NS,5.0,,
2019-10-17,TCS,TCS.NS,40.0,,
2020-01-23,TCS,TCS.NS,5.0,,
2020-03-19,TCS,TCS.NS,12.0,,
2020-06-03,TCS,TCS.NS,6.0,,
2020-07-16,TCS,TCS.NS,5.0,,
2020-10-14,TCS,TCS.NS,12.0,,
2021-01-14,TCS,TCS.NS,6.0,,
