Stock Name,Stock Symbol,Website,Domain Name,Logo URL
RELIANCE,RELIANCE.NS,https://www.ril.com,ril.com,https://img.logo.dev/ril.com
HDFCBANK,HDFCBANK.NS,https://www.hdfcbank.com,hdfcbank.com,https://img.logo.dev/hdfcbank.com
TCS,TCS.NS,https://www.tcs.com,tcs.com,https://img.logo.dev/tcs.com
BHARTIARTL,BHARTIARTL.NS,https://www.airtel.in,airtel.in,https://img.logo.dev/airtel.in
ICICIBANK,ICICIBANK.NS,https://www.icicibank.com,icicibank.com,https://img.logo.dev/icicibank.com
SBIN,SBIN.NS,https://www.sbi.co.in,sbi.co.in,https://img.logo.dev/sbi.co.in
INFY,INFY.NS,https://www.infosys.com,infosys.com,https://img.logo.dev/infosys.com
BAJFINANCE,BAJFINANCE.NS,https://www.aboutbajajfinserv.com/finance-about-us,aboutbajajfinserv.com,https://img.logo.dev/aboutbajajfinserv.com
HINDUNILVR,HINDUNILVR.NS,https://www.hul.co.in,hul.co.in,https://img.logo.dev/hul.co.in
ITC,ITC.NS,https://www.itcportal.com,itcportal.com,https://img.logo.dev/itcportal.com
