Stock Symbol,News Headline,Brief Summary,Published Date
RELIANCE.NS,"India's Reliance shuts crude unit for 21 days' maintenance, sources say",India's Reliance Industries has shut a crude unit and some secondary units for maintenance for 21 days from this week at its 660000 barrels-per-day domestic...,1 week ago
RELIANCE.NS,Reliance Pauses Buying of Venezuelan Oil After Trump 25% Tariff,"(Bloomberg) -- Sign up for the India Edition newsletter by Menaka Doshi – an insider's guide to the emerging economic powerhouse, and the billionaires and...",3 weeks ago
RELIANCE.NS,"India's Reliance to stop buying Venezuelan oil over US tariffs, sources say","India's Reliance Industries, operator of the world's biggest refining complex, will halt Venezuelan oil imports after the United States announced a 25%...",3 weeks ago
RELIANCE.NS,"OpenAI, Meta in talks with Reliance for AI partnerships, The Information reports","A possibility being discussed involved a relationship between Reliance Jio and OpenAI to distribute ChatGPT, according to The Information, which cited two...",4 weeks ago
RELIANCE.NS,OpenAI and Meta reportedly exploring alliance with Reliance in India,"OpenAI has plans to leverage Reliance's business divisions, including its wireless carrier Jio, to distribute its AI offerings.",4 weeks ago
RELIANCE.NS,"OpenAI, Meta in Talks with Reliance for AI Expansion in India","Reliance, OpenAI, Meta Discuss AI Partnership.",4 weeks ago
RELIANCE.NS,"NSE Nifty 50: Top 5 stock losers of March 03, 2025","On March 03, 2025, RELIANCE.NS emerged as the top loser in the Nifty 50, with a significant decline of -2.40%, dropping by 28.85 points to close at 1171.25.",1 month ago
RELIANCE.NS,India's Reliance Industries seeks extension for EV battery plant setup,"In March 2022, Reliance secured incentives under the government's production-linked incentive (PLI) scheme to establish 5 gigawatts (GW) of local...",1 month ago
RELIANCE.NS,India's Reliance says oil ministry raised $2.81 billion demand in gas dispute case,India's Reliance Industries (RELI.NS) said on Tuesday the country's Petroleum and Natural Gas Ministry has raised a demand of $2.81 billion from the company.,1 month ago
RELIANCE.NS,"Top 5 Nifty 50 gainers today – March 07, 2025: Biggest stock moves","On March 07, 2025, several Nifty 50 stocks witnessed notable gains, with RELIANCE.NS leading with a 3.32% uptick, adding 40.20 points. BAJAJ-AUTO.NS, BEL.",1 month ago
