Fiscal Year,Quarter,Stock Name,Stock Symbol,Sales (Total Revenue),Operating Profit,Net Profit
2024,Q3,RELIANCE,RELIANCE.NS,2399860000000.0,306080000000.0,185400000000.0
2024,Q2,RELIANCE,RELIANCE.NS,2315350000000.0,261780000000.0,165630000000.0
2024,Q1,RELIANCE,RELIANCE.NS,2317840000000.0,251690000000.0,151380000000.0
2023,Q4,RELIANCE,RELIANCE.NS,2365330000000.0,292120000000.0,189510000000.0
2023,Q3,RELIANCE,RELIANCE.NS,2250860000000.0,277530000000.0,172650000000.0
2023,Q2,RELIANCE,RELIANCE.NS,,,
2024,Q3,HDFCBANK,HDFCBANK.NS,652796600000.0,N/A,176566100000.0
2024,Q1,HDFCBANK,HDFCBANK.NS,724169900000.0,N/A,164748500000.0
2023,Q4,HDFCBANK,HDFCBANK.NS,255370500000.0,N/A,158260000000.0
2023,Q3,HDFCBANK,HDFCBANK.NS,717731400000.0,N/A,172578700000.0
2023,Q2,HDFCBANK,HDFCBANK.NS,663167100000.0,N/A,168114100000.0
2024,Q4,TCS,TCS.NS,644790000000.0,156010000000.0,122240000000.0
2024,Q3,TCS,TCS.NS,639730000000.0,156570000000.0,123800000000.0
2024,Q2,TCS,TCS.NS,642590000000.0,154650000000.0,119090000000.0
2023,Q4,TCS,TCS.NS,612370000000.0,160320000000.0,124340000000.0
2023,Q3,TCS,TCS.NS,605830000000.0,151550000000.0,110580000000.0
2023,Q2,TCS,TCS.NS,,,
2024,Q3,BHARTIARTL,BHARTIARTL.NS,451293000000.0,128924000000.0,147812000000.0
2024,Q2,BHARTIARTL,BHARTIARTL.NS,414733000000.0,108462000000.0,35932000000.0
2024,Q1,BHARTIARTL,BHARTIARTL.NS,385064000000.0,91675000000.0,41599000000.0
2023,Q4,BHARTIARTL,BHARTIARTL.NS,375991000000.0,104226000000.0,20716000000.0
2023,Q3,BHARTIARTL,BHARTIARTL.NS,378995000000.0,97405000000.0,24422000000.0
2023,Q2,BHARTIARTL,BHARTIARTL.NS,,,
2024,Q3,ICICIBANK,ICICIBANK.NS,519931500000.0,N/A,128833700000.0
2024,Q2,ICICIBANK,ICICIBANK.NS,507172500000.0,N/A,129477700000.0
2024,Q1,ICICIBANK,ICICIBANK.NS,461484400000.0,N/A,116958400000.0
2023,Q4,ICICIBANK,ICICIBANK.NS,460386052000.0,N/A,116715235000.0
2023,Q3,ICICIBANK,ICICIBANK.NS,400710000000.0,N/A,110526000000.0
2023,Q2,ICICIBANK,ICICIBANK.NS,,N/A,
2024,Q3,SBIN,SBIN.NS,904568300000.0,N/A,188531600000.0
2024,Q2,SBIN,SBIN.NS,901836200000.0,N/A,197827600000.0
2024,Q1,SBIN,SBIN.NS,804242700000.0,N/A,193249600000.0
2023,Q4,SBIN,SBIN.NS,830449937000.0,N/A,213841461000.0
2023,Q3,SBIN,SBIN.NS,849797000000.0,N/A,110641400000.0
2023,Q2,SBIN,SBIN.NS,,N/A,
2024,Q3,INFY,INFY.NS,4939000000.0,1053000000.0,804000000.0
2024,Q2,INFY,INFY.NS,4894000000.0,1033000000.0,777000000.0
2024,Q1,INFY,INFY.NS,4714000000.0,994000000.0,763000000.0
2023,Q4,INFY,INFY.NS,4565000000.0,932000000.0,959000000.0
2023,Q3,INFY,INFY.NS,4663000000.0,956000000.0,733000000.0
2023,Q2,INFY,INFY.NS,,,
2024,Q3,BAJFINANCE,BAJFINANCE.NS,109873600000.0,N/A,42465400000.0
2024,Q2,BAJFINANCE,BAJFINANCE.NS,103168500000.0,N/A,39997300000.0
2024,Q1,BAJFINANCE,BAJFINANCE.NS,98642100000.0,N/A,39119800000.0
2023,Q4,BAJFINANCE,BAJFINANCE.NS,91975300000.0,N/A,38245300000.0
2023,Q3,BAJFINANCE,BAJFINANCE.NS,88283900000.0,N/A,36389500000.0
2023,Q2,BAJFINANCE,BAJFINANCE.NS,,N/A,
2024,Q3,HINDUNILVR,HINDUNILVR.NS,155900000000.0,33540000000.0,29840000000.0
2024,Q2,HINDUNILVR,HINDUNILVR.NS,157290000000.0,34550000000.0,25910000000.0
2024,Q1,HINDUNILVR,HINDUNILVR.NS,155230000000.0,34150000000.0,26100000000.0
2023,Q4,HINDUNILVR,HINDUNILVR.NS,150410000000.0,32150000000.0,25580000000.0
2023,Q3,HINDUNILVR,HINDUNILVR.NS,152940000000.0,33530000000.0,25090000000.0
2023,Q2,HINDUNILVR,HINDUNILVR.NS,,,
2024,Q3,ITC,ITC.NS,185803600000.0,59459200000.0,49348000000.0
2024,Q2,ITC,ITC.NS,205815700000.0,62414100000.0,49928700000.0
2024,Q1,ITC,ITC.NS,183398300000.0,62498400000.0,50915900000.0
2023,Q4,ITC,ITC.NS,177676100000.0,61450800000.0,51205500000.0
2023,Q3,ITC,ITC.NS,170548700000.0,58261900000.0,53352300000.0
2023,Q2,ITC,ITC.NS,,,
