Date,Index Symbol,Index Name,Current Price,Previous Close,Change %
2025-04-24,^NSEI,Nifty 50,24259.0,24328.95,▼-0.29%
2025-04-24,^NSEBANK,Nifty Bank,55351.65,55370.05,▼-0.03%
2025-04-24,^CNXIT,Nifty IT,35424.0,35414.65,▲+0.03%
2025-04-24,^CNXAUTO,Nifty Auto,22335.25,22424.45,▼-0.4%
2025-04-24,^CNXENERGY,Nifty Energy,34728.35,34755.05,▼-0.08%
2025-04-24,^CNXMETAL,Nifty Metal,8771.0,8737.3,▲+0.39%
2025-04-24,^CNXPHARMA,Nifty Pharma,21964.85,21738.95,▲+1.04%
2025-04-24,^CNXREALTY,Nifty Realty,884.15,896.75,▼-1.41%
2025-04-24,^NSEMDCP50,Nifty Midcap 50,15552.8,15540.15,▲+0.08%
2025-04-24,^CNXFMCG,Nifty FMCG,56952.45,57497.9,▼-0.95%
